non-inclusive,inclusive,Category
The busmen followed strict schedules., The bus drivers followed strict schedules.,Gender
The cabman waited outside the station., The cabdriver waited outside the station.,Gender
The cabmen lined up for passengers., The cabdrivers lined up for passengers.,Gender
The cameraman recorded the live event., The cameraperson recorded the live event.,Gender
The cameramen adjusted their equipment., The camerapeople adjusted their equipment.,Gender
The cavalryman rode swiftly across the field., The trooper rode swiftly across the field.,Gender
The cavalrymen charged into battle., The troopers charged into battle.,Gender
The caveman discovered fire., The caveperson discovered fire.,Gender
The cavemen painted on the cave walls., The cavepeople painted on the cave walls.,Gender
The centerman passed the puck quickly., The center passed the puck quickly.,Gender
The centermen coordinated the play., The centers coordinated the play.,Gender
The centreman scored the winning goal., The centre scored the winning goal.,Gender
The centremen defended the zone., The centres defended the zone.,Gender
The chessman was moved strategically., The chess figure was moved strategically.,Gender
The chessmen were arranged on the board., The chess figures were arranged on the board.,Gender
The churchman delivered a thoughtful sermon., The cleric delivered a thoughtful sermon.,Gender
The churchmen gathered for the meeting., The clerics gathered for the meeting.,Gender
The clansman honored the family tradition., The clan member honored the family tradition.,Gender
The clansmen protected their heritage., The clan members protected their heritage.,Gender
The classman sat beside me in the lecture., The classmate sat beside me in the lecture.,Gender
The classmen studied together for exams., The classmates studied together for exams.,Gender
The coachman guided the carriage along the road., The coach driver guided the carriage along the road.,Gender
The coachmen prepared the horses early., The coach drivers prepared the horses early.,Gender
The cocksman boasted about achievements., The sexually talented person boasted about achievements.,Gender
The cocksmen gathered at the party., The sexually talented people gathered at the party.,Gender
The con-man tricked several victims., The con artist tricked several victims.,Gender
The con-men operated in the market., The con artists operated in the market.,Gender
The congressman addressed the parliament., The congressperson addressed the parliament.,Gender
The congressmen debated the bill., The congresspeople debated the bill.,Gender
The conman deceived the customers., The con artist deceived the customers.,Gender
The conmen fled after the scam., The con artists fled after the scam.,Gender
The cornerman advised the boxer during the match., The second advised the boxer during the match.,Gender
The cornermen stood outside the ring., The seconds stood outside the ring.,Gender
The cornishman celebrated the local festival., The Cornish person celebrated the local festival.,Gender
The cornishmen preserved their culture., The Cornish people preserved their culture.,Gender
The corpsman treated the injured soldier., The medical assistant treated the injured soldier.,Gender
The corpsmen worked in the field hospital., The medical assistants worked in the field hospital.,Gender
The counterman served customers at the shop., The counterperson served customers at the shop.,Gender
The countermen handled orders efficiently., The counterpeople handled orders efficiently.,Gender
The craftsman built a beautiful chair., The craftsperson built a beautiful chair.,Gender
The craftsmen displayed their work., The craftspeople displayed their work.,Gender
The crewman checked the equipment before departure., The crew member checked the equipment before departure.,Gender
The crewmen prepared for the journey., The crew members prepared for the journey.,Gender
The crossbowman aimed at the distant target., The arbalist aimed at the distant target.,Gender
The crossbowmen practiced their aim before the tournament., The arbalists practiced their aim before the tournament.,Gender
The cutman treated the boxer between rounds., The medical attendant treated the boxer between rounds.,Gender
The cutmen worked quickly during the match., The medical attendants worked quickly during the match.,Gender
The dairyman delivered fresh milk every morning., The dairy worker delivered fresh milk every morning.,Gender
The dairymen managed the cattle efficiently., The dairy workers managed the cattle efficiently.,Gender
The deadman was discovered near the river., The corpse was discovered near the river.,Gender
The deadmen were buried with respect., The corpses were buried with respect.,Gender
The defenceman blocked the shot skillfully., The defender blocked the shot skillfully.,Gender
The defencemen guarded their zone carefully., The defenders guarded their zone carefully.,Gender
The defenseman stopped the opponent’s advance., The defender stopped the opponent’s advance.,Gender
The defensemen coordinated their strategy., The defenders coordinated their strategy.,Gender
The deskman handled complaints at the station., The desk sergeant handled complaints at the station.,Gender
The deskmen managed reports efficiently., The desk sergeants managed reports efficiently.,Gender
He listened to music on his discman during travel., He listened to music on his portable CD player during travel.,Gender
Many discmen were sold in the 1990s., Many portable CD players were sold in the 1990s.,Gender
The draftsman prepared the architectural plan., The draftsperson prepared the architectural plan.,Gender
The draftsmen worked on multiple blueprints., The draftspeople worked on multiple blueprints.,Gender
The draughtsman sketched the design carefully., The draughtsperson sketched the design carefully.,Gender
The draughtsmen reviewed the drawings together., The draughtspeople reviewed the drawings together.,Gender
The dutchman spoke about local traditions., The netherlander spoke about local traditions.,Gender
The dutchmen celebrated the festival proudly., The netherlanders celebrated the festival proudly.,Gender
The story appealed to the everyman., The story appealed to the ordinary person.,Gender
The lessons were meant for everymen., The lessons were meant for ordinary people.,Gender
The expressman delivered parcels across town., The expressperson delivered parcels across town.,Gender
The expressmen handled urgent deliveries., The expresspeople handled urgent deliveries.,Gender
The fireman rescued the family from the house., The firefighter rescued the family from the house.,Gender
The firemen controlled the blaze quickly., The firefighters controlled the blaze quickly.,Gender
The fisherman cast the net into the river., The fisher cast the net into the river.,Gender
The fishermen returned with a good catch., The fishers returned with a good catch.,Gender
The flagman directed traffic near the site., The traffic guard directed traffic near the site.,Gender
The flagmen managed vehicles safely., The traffic guards managed vehicles safely.,Gender
The footman opened the door for the guest., The servant opened the door for the guest.,Gender
The footmen served meals in the hall., The servants served meals in the hall.,Gender
The foreman supervised the construction work., The foreperson supervised the construction work.,Gender
The foremen inspected the site regularly., The forepeople inspected the site regularly.,Gender
The freedman started a new life., The freedperson started a new life.,Gender
The freedmen formed a new community., The freedpeople formed a new community.,Gender
The freeman lived independently., The freeperson lived independently.,Gender
The freemen valued their freedom., The freepeople valued their freedom.,Gender
The frenchman shared stories from home., The French person shared stories from home.,Gender
The frenchmen gathered for the celebration., The French people gathered for the celebration.,Gender
The freshman attended the orientation session., The first-year student attended the orientation session.,Gender
The freshmen explored the campus together., The first-year students explored the campus together.,Gender
The frogman dived deep into the sea., The diver dived deep into the sea.,Gender
The frogmen searched the underwater area., The divers searched the underwater area.,Gender
The frontiersman explored unknown lands., The explorer explored unknown lands.,Gender
The frontiersmen traveled across harsh terrain., The explorers traveled across harsh terrain.,Gender
The frontman led the band confidently., The frontperson led the band confidently.,Gender
The frontmen performed at the concert., The frontpeople performed at the concert.,Gender
The garageman repaired the old car., The mechanic repaired the old car.,Gender
The garagemen worked late into the night., The mechanics worked late into the night.,Gender
The gateman checked visitors at the entrance., The gatekeeper checked visitors at the entrance.,Gender
The gatemen monitored the gates carefully., The gatekeepers monitored the gates carefully.,Gender
The gentleman greeted everyone politely., The refined person greeted everyone politely.,Gender
The gentlemans attended the meeting., The refined people attended the meeting.,Gender
The gleeman sang songs in the court., The minstrel sang songs in the court.,Gender
The gleemen entertained the audience., The minstrels entertained the audience.,Gender
The glovesman trained hard for the match., The boxer trained hard for the match.,Gender
The glovesmen competed in the ring., The boxers competed in the ring.,Gender
The groomsman stood beside the couple., The groomsperson stood beside the couple.,Gender
The groomsmen supported the ceremony., The groomspeople supported the ceremony.,Gender
The groundsman maintained the field daily., The groundskeeper maintained the field daily.,Gender
The groundsmen prepared the pitch carefully., The groundskeepers prepared the pitch carefully.,Gender
The guardsman stood at attention., The guard stood at attention.,Gender
The guardsmen patrolled the border., The guards patrolled the border.,Gender
The handicraftsman carved a wooden statue., The handicraftsperson carved a wooden statue.,Gender
The handicraftsmen displayed their art., The handicraftspeople displayed their art.,Gender
The hangman carried out the sentence., The executioner carried out the sentence.,Gender
The hangmen were feared by many., The executioners were feared by many.,Gender
The headman enforced the punishment., The executioner enforced the punishment.,Gender
The headmen carried out strict orders., The executioners carried out strict orders.,Gender
The headsman raised the axe., The executioner raised the axe.,Gender
The headsmen followed commands carefully., The executioners followed commands carefully.,Gender
The hitman waited for the signal., The assassin waited for the signal.,Gender
The hitmen operated secretly., The assassins operated secretly.,Gender
The horseman rode across the valley., The equestrian rode across the valley.,Gender
The horsemen competed in the race., The equestrians competed in the race.,Gender
The huntsman tracked the deer silently., The hunter tracked the deer silently.,Gender
The huntsmen prepared their gear., The hunters prepared their gear.,Gender
The iceman delivered blocks of ice., The ice vendor delivered blocks of ice.,Gender
The icemen supplied shops regularly., The ice vendors supplied shops regularly.,Gender
The jokerman entertained the crowd., The joker entertained the crowd.,Gender
The jokermen performed tricks., The jokers performed tricks.,Gender
The journeyman learned the craft patiently., The artisan learned the craft patiently.,Gender
The journeymen worked under guidance., The artisans worked under guidance.,Gender
The kinsman visited relatives often., The relative visited relatives often.,Gender
The kinsmen gathered for the reunion., The relatives gathered for the reunion.,Gender
The landsman felt uneasy at sea., The landlubber felt uneasy at sea.,Gender
The landsmen preferred staying ashore., The landlubbers preferred staying ashore.,Gender
The lawman arrested the suspect., The law officer arrested the suspect.,Gender
The lawmen patrolled the streets., The law officers patrolled the streets.,Gender
The lensman captured beautiful photographs., The photographer captured beautiful photographs.,Gender
The lensmen covered the event., The photographers covered the event.,Gender
The lifeboatman rowed toward the sinking ship., The lifeboat sailor rowed toward the sinking ship.,Gender
The lifeboatmen rescued the passengers., The lifeboat sailors rescued the passengers.,Gender
The liftman operated the elevator smoothly., The lift operator operated the elevator smoothly.,Gender
The liftmen assisted passengers politely., The lift operators assisted passengers politely.,Gender
The lineman repaired the damaged wire., The lineperson repaired the damaged wire.,Gender
The linemen worked through the night., The linepeople worked through the night.,Gender
The linesman raised the flag., The linesperson raised the flag.,Gender
The linesmen monitored the game carefully., The linespeople monitored the game carefully.,Gender
The lobsterman set traps along the coast., The lobster catcher set traps along the coast.,Gender
The lobstermen returned with their catch., The lobster catchers returned with their catch.,Gender
The longshoreman loaded cargo onto the ship., The dockworker loaded cargo onto the ship.,Gender
The longshoremen worked at the harbor., The dockworkers worked at the harbor.,Gender
The lumberman chopped wood in the forest., The logger chopped wood in the forest.,Gender
The lumbermen transported the logs., The loggers transported the logs.,Gender
The madman shouted in the street., The maniac shouted in the street.,Gender
The madmen wandered through the town., The maniacs wandered through the town.,Gender
The mailman delivered letters daily., The mail carrier delivered letters daily.,Gender
The mailmen sorted mail quickly., The mail carriers sorted mail quickly.,Gender
The merman swam swiftly through the ocean., The merperson swam swiftly through the ocean.,Gender
The mermen guarded the underwater kingdom., The merpeople guarded the underwater kingdom.,Gender
The midshipman trained rigorously on the vessel., The naval officer trained rigorously on the vessel.,Gender
The midshipmen stood in formation on deck., The naval officers stood in formation on deck.,Gender
The militiaman defended the village bravely., The militia member defended the village bravely.,Gender
The militiamen gathered for training., The militia members gathered for training.,Gender
The minuteman responded quickly to the alarm., The soldier responded quickly to the alarm.,Gender
The minutemen assembled within minutes., The soldiers assembled within minutes.,Gender
The motorman operated the train carefully., The operator operated the train carefully.,Gender
The motormen managed the controls efficiently., The operators managed the controls efficiently.,Gender
The newsman reported live from the scene., The reporter reported live from the scene.,Gender
The newsmen covered the breaking story., The reporters covered the breaking story.,Gender
The newspaperman interviewed the witness., The journalist interviewed the witness.,Gender
The newspapermen worked late at the office., The journalists worked late at the office.,Gender
The nightwatchman stayed alert during the game., The nightwatchbatter stayed alert during the game.,Gender
The nightwatchmen guarded the pitch overnight., The nightwatchbatters guarded the pitch overnight.,Gender
The nobleman attended the royal ceremony., The noble person attended the royal ceremony.,Gender
The noblemans gathered at the palace., The noble people gathered at the palace.,Gender
The oarsman rowed across the river steadily., The rower rowed across the river steadily.,Gender
The oarsmen competed in the regatta., The rowers competed in the regatta.,Gender
The ombudsman resolved the complaint fairly., The ombudsperson resolved the complaint fairly.,Gender
The ombudsmen handled multiple cases., The ombudspeople handled multiple cases.,Gender
The overman believed in personal excellence., The Übermensch believed in personal excellence.,Gender
The overmen followed the philosophy strictly., The Übermenschen followed the philosophy strictly.,Gender
The oysterman harvested oysters at dawn., The oysterperson harvested oysters at dawn.,Gender
The oystermen worked along the shore., The oysterpeople worked along the shore.,Gender
The packetman sailed across the sea routes., The packet sailor sailed across the sea routes.,Gender
The packetmen transported goods regularly., The packet sailors transported goods regularly.,Gender
The packman sold goods in the market., The seller sold goods in the market.,Gender
The packmen traveled between towns., The sellers traveled between towns.,Gender
The pieman served hot pies to customers., The pie vendor served hot pies to customers.,Gender
The piemen worked at the fair., The pie vendors worked at the fair.,Gender
The pitchman delivered the sales pitch confidently., The pitcher delivered the sales pitch confidently.,Gender
The pitchmen impressed the audience., The pitchers impressed the audience.,Gender
The placeman received an official appointment., The appointee received an official appointment.,Gender
The placemen attended the ceremony., The appointees attended the ceremony.,Gender
The ploughman tilled the soil early., The plower tilled the soil early.,Gender
The ploughmen prepared the field together., The plowers prepared the field together.,Gender
The plowman worked through the afternoon., The plower worked through the afternoon.,Gender
The plowmen covered the entire farm., The plowers covered the entire farm.,Gender
The pointsman directed vehicles at the crossing., The traffic officer directed vehicles at the crossing.,Gender
The pointsmen managed the busy junction., The traffic officers managed the busy junction.,Gender
The policeman patrolled the neighborhood., The police officer patrolled the neighborhood.,Gender
The policemen responded to the emergency., The police officers responded to the emergency.,Gender
The postman delivered letters before noon., The mail carrier delivered letters before noon.,Gender
The postmen sorted parcels at the depot., The mail carriers sorted parcels at the depot.,Gender
The pressman operated the printing machine., The printer operated the printing machine.,Gender
The pressmen worked in the factory., The printers worked in the factory.,Gender
The prostitute waited on the street corner., The sexworker waited on the street corner.,Gender
The prman organized the media event., The press agent organized the media event.,Gender
The prmen coordinated publicity campaigns., The press agents coordinated publicity campaigns.,Gender
The rubberman attended the themed gathering., The latex fetishist attended the themed gathering.,Gender
The rubbermen formed an online group., The latex fetishists formed an online group.,Gender
The seaman worked aboard the cargo ship., The sailor worked aboard the cargo ship.,Gender
The seamen navigated through the storm., The sailors navigated through the storm.,Gender
The seedsman sold grains and seeds., The seeds dealer sold grains and seeds.,Gender
The seedsmen supplied farmers regularly., The seeds dealers supplied farmers regularly.,Gender
The selectman attended the board meeting., The member of the board attended the board meeting.,Gender
The selectmen voted on the decision., The members of the board voted on the decision.,Gender
The serviceman returned home after duty., The service member returned home after duty.,Gender
The servicemen marched in the parade., The service members marched in the parade.,Gender
The she-man performed confidently on stage., The feminine person performed confidently on stage.,Gender
The she-men participated in the show., The feminine people participated in the show.,Gender
The sheepman guided the flock across the hill., The shepherd guided the flock across the hill.,Gender
The sheepmen tended the animals carefully., The shepherds tended the animals carefully.,Gender
The showman entertained the crowd brilliantly., The showperson entertained the crowd brilliantly.,Gender
The showmen organized the event., The showpeople organized the event.,Gender
The sideman played guitar beside the singer., The side artist played guitar beside the singer.,Gender
The sidemen supported the performance., The side artists supported the performance.,Gender
The slaughterman prepared the meat for sale., The butcher prepared the meat for sale.,Gender
The slaughtermen worked at the facility., The butchers worked at the facility.,Gender
The snowman stood in the yard after snowfall., The snowperson stood in the yard after snowfall.,Gender
The snowmen decorated the park., The snowpeople decorated the park.,Gender
The soundman adjusted the microphones carefully., The audio engineer adjusted the microphones carefully.,Gender
The soundmen managed the audio system., The audio engineers managed the audio system.,Gender
The spaceman floated in zero gravity., The astronaut floated in zero gravity.,Gender
The spacemen trained for months., The astronauts trained for months.,Gender
The spearfisherman dived into the sea., The spearfisher dived into the sea.,Gender
The spearfishermen returned with their catch., The spearfishers returned with their catch.,Gender
The spearman charged into battle., The lancer charged into battle.,Gender
The spearmen stood ready with their weapons., The lancers stood ready with their weapons.,Gender
The spokeman addressed the media briefly., The spokeperson addressed the media briefly.,Gender
The spokemen answered questions patiently., The spokepeople answered questions patiently.,Gender
The spokesman delivered the statement clearly., The spokesperson delivered the statement clearly.,Gender
The spokesmen briefed the reporters., The spokespeople briefed the reporters.,Gender
The sportsman displayed excellent skill., The athlete displayed excellent skill.,Gender
The sportsmen competed at the tournament., The athletes competed at the tournament.,Gender
The statesman proposed a new policy., The statesperson proposed a new policy.,Gender
The statesmen discussed international matters., The statespeople discussed international matters.,Gender
The stickman was drawn on the board., The stick figure was drawn on the board.,Gender
The stickmen appeared in the animation., The stick figures appeared in the animation.,Gender
The stockman managed cattle on the farm., The stock farmer managed cattle on the farm.,Gender
The stockmen worked throughout the season., The stock farmers worked throughout the season.,Gender
The storeman arranged goods in the warehouse., The warehouser arranged goods in the warehouse.,Gender
The storemen checked inventory daily., The warehousers checked inventory daily.,Gender
The strongman lifted the heavy weight easily., The strong person lifted the heavy weight easily.,Gender
The strongmen competed in the contest., The strong people competed in the contest.,Gender
The sub-man lived in harsh conditions., The inferior human lived in harsh conditions.,Gender
The sub-men were treated unfairly., The inferior humans were treated unfairly.,Gender
The superman saved the city from danger., The superhero saved the city from danger.,Gender
The supermen protected the world., The superheroes protected the world.,Gender
The swagman traveled across the countryside., The transient labourer traveled across the countryside.,Gender
The swagmen moved from town to town., The transient labourers moved from town to town.,Gender
The swingman adapted to multiple roles., The versatile athlete adapted to multiple roles.,Gender
The swingmen supported the team effectively., The versatile athletes supported the team effectively.,Gender
The switchman operated the railway controls., The railroad worker operated the railway controls.,Gender
The switchmen maintained the tracks., The railroad workers maintained the tracks.,Gender
The swordman trained with discipline., The fencer trained with discipline.,Gender
The swordmen practiced daily., The fencers practiced daily.,Gender
The swordsman won the duel., The fencer won the duel.,Gender
The swordsmen competed in the tournament., The fencers competed in the tournament.,Gender
The targetman scored the decisive goal., The forward scored the decisive goal.,Gender
The targetmen positioned themselves strategically., The forwards positioned themselves strategically.,Gender
The taxman collected dues from citizens., The tax collector collected dues from citizens.,Gender
The taxmen audited financial records., The tax collectors audited financial records.,Gender
The townsman attended the local fair., The townsperson attended the local fair.,Gender
The townsmen discussed community matters., The townspeople discussed community matters.,Gender
The tribesman shared stories of tradition., The tribesperson shared stories of tradition.,Gender
The tribesmen celebrated together., The tribespeople celebrated together.,Gender
The triggerman waited for the signal., The hired gun waited for the signal.,Gender
The triggermen operated in secrecy., The hired guns operated in secrecy.,Gender
The underclassman attended the lecture., The undergraduate attended the lecture.,Gender
